
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
156	Nguyen Thanh Tam (Alice)	Under 14	VADP Double2Tam	74	77	78	74	76	76	455	1.46	75.83
157=	Iris Yip	Open	Oriental Alchemists	76	76	75	76	76	75	454	0.47	75.67
157=	Abraham John Mo	Open	November Rain	76	75	76	75	76	76	454	0.47	75.67
159=	Hana Bostikova	Open	DKU Waiguo Girls	74	77	76	75	76	76	454	0.94	75.67
159=	Tony Kim	Under 14	Hallabong 2	76	75	76	77	74	76	454	0.94	75.67
159=	Chen Xin Ru	Open	Two unprofessional dancers	76	76	75	74	77	76	454	0.94	75.67
162	Richelle Xiaoyang Liu	Open	MUST B	77	75	74	76	75	77	454	1.11	75.67
163	Jared Cao	Under 16	CW LJ	74	75	78	75	77	75	454	1.37	75.67
164	Adrian Wong	Under 16	McFlurry	75	73	76	77	75	78	454	1.60	75.67
165	Hanna Zhang	Under 16	We Don&#x27;t Like Snares	78	76	77	73	73	77	454	1.97	75.67
166	Alex Xu	Under 14	RSG Emerald	79	74	77	72	78	74	454	2.49	75.67
167=	Saw Wern Xin	Under 16	Exons	77	75	75	75	75	76	453	0.76	75.50
167=	Coco Wang-Xinyue Zhang	Open	DKU Chipakam	76	76	74	76	76	75	453	0.76	75.50
169	Valeriya Alexeykina	Open	DKU Waiguo Girls	74	77	75	75	77	75	453	1.12	75.50
170=	Bui Phuong Linh	Under 16	VADP LN	76	75	76	77	73	76	453	1.26	75.50
170=	Nguyen Hien Tam (Avery)	Under 14	VADP Double2Tam	76	76	77	73	75	76	453	1.26	75.50
170=	Connie Junhan Zhang	Open	Jellycat lovers	75	76	75	74	75	78	453	1.26	75.50
173=	Justin Yang	Under 16	JH	73	75	75	77	76	77	453	1.38	75.50
173=	Kevin Sun	Open	SUFE B	75	78	76	74	76	74	453	1.38	75.50
175=	Ziyun Iris Ma	Under 16	B&amp;I	75	78	77	75	75	73	453	1.61	75.50
175=	Nguyen Thi Ha Linh	Over 16	Silver Fainted	78	75	75	77	73	75	453	1.61	75.50
177	Celina Li	Under 16	Time is ticking！！！	76	72	78	76	76	75	453	1.80	75.50
178=	Alice Wan	Under 14	We Don&#x27;t Like Snares	78	76	77	73	73	76	453	1.89	75.50
178=	Li Miao	Open	Tough Love	76	75	78	75	72	77	453	1.89	75.50
180	CHARLOTTE CHU	Over 16	LOZO - I’ll ask Charlotte	77	74	71	78	77	76	453	2.36	75.50
181=	Eason Ziyi Wang	Under 16	Whatever	75	75	76	76	74	76	452	0.75	75.33
181=	Anne Yiwen Chen	Open	November Rain	76	75	76	74	75	76	452	0.75	75.33
183	Patrycja Ossowska	Open	DKU are you sober?	74	75	76	75	75	77	452	0.94	75.33
184	Ethan Yishiang Chen	Under 16	Motion Sickness	74	77	75	74	76	76	452	1.11	75.33
185	Angela QIAN	Under 16	Autumn Girls	75	74	77	75	74	77	452	1.25	75.33
186	Valerie Shek	Under 16	McFlurry	73	74	76	76	76	77	452	1.37	75.33
187	Iana Wang	Open	SUFE C	76	78	73	76	74	75	452	1.60	75.33
188	Flora Wang	Under 14	I Killed My Duolingo	74	77	74	76	73	78	452	1.80	75.33
189	Yehlii Jiayi Bao	Open	Better Up！！！	76	74	75	76	74	76	451	0.90	75.17
190=	Oscar Lee	Over 16	CW MO	77	75	75	74	76	74	451	1.07	75.17
190=	Elina Luo	Under 14	CW EK	75	73	76	75	76	76	451	1.07	75.17
190=	Eric Liqian Yan	Under 16	Ethan Gao	75	76	75	74	74	77	451	1.07	75.17
193=	Annie Peng	Under 16	Nova Shrimp Tempura	74	77	75	74	74	77	451	1.34	75.17
193=	Christina Ye	Under 16	Swing 250	75	76	76	74	73	77	451	1.34	75.17
195=	Wolfgang Fung	Under 16	CW LW	77	76	75	75	72	76	451	1.57	75.17
195=	Ashley Song	Over 16	Nova 4AM	73	76	77	74	74	77	451	1.57	75.17
197	Nathan Briane Nibbs	Open	Patina	78	73	76	74	76	74	451	1.67	75.17
198	Loka Qiu	Under 14	RSG Emerald	77	75	77	72	76	74	451	1.77	75.17
199	Annie Chen	Under 14	Cocacola	75	75	74	75	76	75	450	0.58	75.00
200	Term	Under 14	Two Little Rizzlers	75	76	75	76	75	73	450	1.00	75.00
201	RICHARD WONG	Under 16	LOZO - Too busy to reply when Coach	74	75	74	75	75	77	450	1.00	75.00
202=	Lynn Liying Qian	Open	MUST D	76	76	75	76	74	73	450	1.15	75.00
202=	Iris zhou	Under 16	Nova Shrimp Tempura	74	77	75	74	74	76	450	1.15	75.00
204=	Alina Peilin Shi	Under 16	Call It	76	75	75	75	72	77	450	1.53	75.00
204=	Wali Ahmed	Open	DKU Orbis linguam	75	76	77	72	75	75	450	1.53	75.00
204=	Tung Oh	Under 16	Two Little Rizzlers	75	76	75	77	75	72	450	1.53	75.00
207	Huang Boyuan	Open	DKU Orbis linguam	75	74	78	72	75	76	450	1.83	75.00
208	Meredith Wang	Open	Tough Love	76	73	78	75	72	76	450	2.00	75.00
209	Caroline Wang	Open	SUFE C	75	78	71	77	74	75	450	2.24	75.00
210=	Luke Zonghan Wu	Open	MUST B	76	75	73	74	75	76	449	1.07	74.83
210=	Olivia Jia	Under 14	Talk That Sheet	77	75	74	74	74	75	449	1.07	74.83
210=	BRIAN XIAO	Under 16	LOZO - Too busy to reply when Coach	74	75	74	75	74	77	449	1.07	74.83
213	Huatao Xue	Under 16	JH	74	73	75	75	75	77	449	1.21	74.83
214	Tiger Xu	Under 16	Big Macs	74	76	74	75	77	73	449	1.34	74.83
215	Azalea Yurou Jiang	Open	Better Up！！！	76	74	75	76	72	76	449	1.46	74.83
216	Cindy Wu	Under 14	Cocacola	74	75	74	74	76	75	448	0.75	74.67
217=	James Jiayue Chen	Under 16	Ethan Gao	75	76	75	73	74	75	448	0.94	74.67
217=	Anna Xisha Wang	Open	MUST D	75	76	75	75	74	73	448	0.94	74.67
217=	Leo Liao Junjie	Open	SUFE Encounter	75	73	75	74	75	76	448	0.94	74.67
220	Tim Tianwen Yu	Under 16	Whatever	75	73	74	76	74	76	448	1.11	74.67
221	Yuen Wing Yin	Over 16	PLKC B	76	74	75	72	76	75	448	1.37	74.67
222	Louis Yin	Under 16	ILoVetEamChina	76	75	77	72	75	73	448	1.70	74.67
223	Huang Xi Yuan	Over 16	PLKC B	77	74	75	71	75	76	448	1.89	74.67
224	Kuei Chen	Under 16	LOZO - Trying to remember what we l	76	74	74	74	74	75	447	0.76	74.50
225	Amanda Li	Under 16	U 16	75	72	75	75	75	75	447	1.12	74.50
226=	Yingshi Gu	Under 16	ILoVetEamChina	75	75	76	72	75	74	447	1.26	74.50
226=	Helene Shiqi He	Open	Eighteen	76	72	75	74	75	75	447	1.26	74.50
228	Conan Chia Cheung Chak	Under 16	Love and Kindness to Humanity	75	75	73	76	72	76	447	1.50	74.50
229	Orlando Yao	Open	Lawful Troublemakers	74	77	74	72	76	74	447	1.61	74.50
230	Daniella Huang	Under 14	Nova A Leg Splitting Frog	73	77	72	75	74	76	447	1.71	74.50
231	Zina Xiong	Under 16	U 16	77	71	75	74	75	75	447	1.80	74.50
232	Jesse Rothman	Under 16	Tung tung sahur	70	74	76	75	74	78	447	2.43	74.50
233	Chloe Shou	Under 16	The Underdogs	77	75	76	74	69	76	447	2.63	74.50
234	Emina Ye	Over 16	CW EM	75	74	75	74	74	74	446	0.47	74.33
235=	Garvey Wang	Open	Abnormal	76	73	75	74	73	75	446	1.11	74.33
235=	Rosy Gao	Under 14	LnR	74	73	76	75	73	75	446	1.11	74.33
237=	Nini Xinyi Lei	Under 14	Agile Minds	76	73	73	74	75	75	446	1.11	74.33
237=	Roy Yuan	Under 14	LOZO IDK	74	75	76	75	73	73	446	1.11	74.33
237=	Regina Min	Under 16	LOZO - Trying to remember what we l	76	74	73	73	75	75	446	1.11	74.33
240=	Lisa Lingxuan Hu	Open	Eighteen	76	72	74	75	75	74	446	1.25	74.33
240=	Selina Guo	Open	DKUAE	76	74	75	74	75	72	446	1.25	74.33
240=	Lizzy Kong	Under 14	LnR	76	74	74	73	73	76	446	1.25	74.33
243	Marco Qin	Over 16	Nova 4AM	72	75	76	74	73	76	446	1.49	74.33
244	George Hu	Under 14	LOZO IDK	74	75	77	75	72	73	446	1.60	74.33
245	Jessica Wu	Under 14	Nova Calamari	78	74	73	73	75	73	446	1.80	74.33
246	Stella Li	Under 14	DeepSick	75	77	75	73	71	75	446	1.89	74.33
247=	Bella Huang	Under 14	shella	71	75	76	73	77	74	446	1.97	74.33
247=	Marilyn Jiang	Under 16	I Killed My Duolingo	73	77	74	75	71	76	446	1.97	74.33
249	Jessy Yan	Under 14	Nova Calamari	78	74	72	73	76	73	446	2.05	74.33
250	Lele Hu	Under 16	Tung tung sahur	71	73	76	74	74	78	446	2.21	74.33
251=	Jessie Gui	Under 16	Call It	75	74	74	75	72	75	445	1.07	74.17
251=	Julianna Zhuo	Open	Abnormal	76	73	74	74	73	75	445	1.07	74.17
253	Fiona Ruxin Xia	Under 14	Mocha Chocolate	73	76	72	74	75	75	445	1.34	74.17
254	Jia Luo	Open	Lex Ultima	73	74	72	74	76	76	445	1.46	74.17
255	Lucas Jacob Chacko	Open	DKU Deep Fried Oreos	76	74	74	75	75	71	445	1.57	74.17
256	Lauren Nicole Land	Open	DKU Deep Fried Oreos	77	73	74	75	74	72	445	1.57	74.17
257	Honey Jia	Under 14	DeepSick	75	76	75	73	71	75	445	1.67	74.17
258	Daegyu Lee	Open	GMUK C	75	74	76	75	70	75	445	1.95	74.17
259	Laurence Yilin Liu	Open	FDU A	73	73	77	76	75	71	445	2.03	74.17
260	Shelley Li	Under 14	shella	68	75	76	74	77	75	445	2.91	74.17
261	Gene Jin	Under 14	Big babies	75	73	74	75	73	74	444	0.82	74.00
262	Abbigail Lian	Under 14	Big babies	75	75	74	74	72	74	444	1.00	74.00
263	Cathy Han Runtong	Open	SUFE Encounter	73	72	75	74	75	75	444	1.15	74.00
264	William Xu	Under 14	Nova A Leg Splitting Frog	73	76	72	75	73	75	444	1.41	74.00
265	Star Zhou Xichen	Under 16	Love and Kindness to Humanity	74	75	71	76	72	76	444	1.91	74.00
266	Jason Chen	Under 14	RSG Diamond	74	74	77	76	69	74	444	2.52	74.00
267=	Lily Chengxi Feng	Under 16	Mocha Chocolate	73	75	72	72	76	75	443	1.57	73.83
267=	Libor Li	Under 16	Nova Cannot Eat Wine	73	75	71	76	74	74	443	1.57	73.83
269	Anthea Jiaxin Wang	Open	FDU A	72	73	77	74	75	72	443	1.77	73.83
270	Nathan Ng	Under 16	Big Macs	73	75	73	74	77	71	443	1.86	73.83
271	Tina Xu	Under 16	The Underdogs	75	74	76	74	69	75	443	2.27	73.83
272	Michelle Ngai	Over 16	CW EM	73	74	74	73	74	74	442	0.47	73.67
273=	Robert Liu	Under 14	GDP 2	75	73	71	75	74	74	442	1.37	73.67
273=	Evelsa Zhang	Under 14	GDP 2	75	73	71	75	74	74	442	1.37	73.67
275	Jason Wang	Open	Nova Basketboy	75	76	69	71	75	76	442	2.69	73.67
276	Kristen Yuxuan Qin	Open	MUST C	75	73	73	74	73	73	441	0.76	73.50
277=	Lucy Wenxin Peng	Open	MUST C	76	73	74	73	72	73	441	1.26	73.50
277=	Simon Wei	Open	DKUAE	75	73	74	74	74	71	441	1.26	73.50
279	Jimin Choi	Open	GMUK A	72	73	73	76	72	75	441	1.50	73.50
280	Sumin Song	Open	GMUK C	73	74	75	75	70	74	441	1.71	73.50
281	Emily Sipei Zhang	Open	Gambetto	74	74	72	73	73	74	440	0.75	73.33
282	Felipe Wu	Under 14	Charlie Bucket	73	74	75	72	74	72	440	1.11	73.33
283	Yesong Oh	Open	GMUK A	73	73	72	76	72	74	440	1.37	73.33
284	Alex Tang	Under 14	Titan	74	76	71	73	72	74	440	1.60	73.33
285=	Lucas Cheng	Under 16	Nova Cannot Eat Wine	71	75	71	76	74	73	440	1.89	73.33
285=	Tiger Zhihang Li	Under 14	Agile Minds	75	71	71	73	76	74	440	1.89	73.33
287	Amy Tianying Hou	Open	Gambetto	74	74	72	73	72	74	439	0.90	73.17
288	Liam Lent	Under 14	Charlie Bucket	73	75	74	71	73	73	439	1.21	73.17
289	Thomas Chen	Under 14	Titan	74	76	71	73	72	73	439	1.57	73.17
290	Vera Xu	Under 14	RSG Diamond	73	71	76	76	70	73	439	2.27	73.17
291=	Seungjoo Lee	Open	GMUK B	74	72	75	70	74	73	438	1.63	73.00
291=	Seunggu Park	Open	GMUK B	74	72	75	70	74	73	438	1.63	73.00
293	Ray Yixiao Wang	Open	Charli XCX? We are Careless XXX	—	71	77	78	78	79	383	2.87	76.60
294	Soohyuk Moon	Under 16	Hallabong 1	—	78	77	76	74	76	381	1.33	76.20
295	Leo Lind	Open	Cutsies Fruties	75	76	—	76	75	77	379	0.75	75.80
296	Renee Zhuang	Open	SUFE B	—	78	76	74	75	75	378	1.36	75.60
297	Lucas Lu	Under 16	CW LW	76	75	—	76	72	76	375	1.55	75.00
298	Jennifer	Open	Lex Ultima	72	74	—	74	77	76	373	1.74	74.60
299	Zach Changhao Zhuang	Open	Lawful Troublemakers	72	76	—	72	75	76	371	1.83	74.20
300	Lea Lind	Open	Cutsies Fruties	74	75	—	75	75	—	299	0.43	74.75
301	Speaker 1		Swing A	—	—	70	67	63	71	271	3.11	67.75
302	Olive Yao	Open	Hdkwodndi	75	72	74	—	—	—	221	1.25	73.67
303	Speaker 2		Swing B	—	—	71	70	—	72	213	0.82	71.00
304	Speaker 1		Swing B	—	—	70	—	72	70	212	0.94	70.67
305	Speaker 2		Swing A	—	—	71	66	—	72	209	2.62	69.67
306	Krysten Yuhan Yao	Open	Socratic Sparks	75	76	—	—	—	—	151	0.50	75.50
307	Amber Xinyan Xu	Open	Socratic Sparks	74	76	—	—	—	—	150	1.00	75.00
308	Lucy Xu	Open	Hdkwodndi	75	71	—	—	—	—	146	2.00	73.00


team	result	side	adjudicators
MUST B	4th	Opening Government	Xandy Sophia ArmamentoⒸ
We Don&#x27;t Like Snares	1st	Opening Opposition	Xandy Sophia ArmamentoⒸ
Time is ticking！！！	3rd	Closing Government	Xandy Sophia ArmamentoⒸ
LOZO JAYJAY	2nd	Closing Opposition	Xandy Sophia ArmamentoⒸ
Mario flower	2nd	Opening Government	NayantaraⒸ
CW YM	1st	Opening Opposition	NayantaraⒸ
RSG Gold	4th	Closing Government	NayantaraⒸ
CW EM	3rd	Closing Opposition	NayantaraⒸ
Capstone AJ	2nd	Opening Government	Sharun NikeshⒸ
LOZO - Trying to remember what we l	4th	Opening Opposition	Sharun NikeshⒸ
CW LL	1st	Closing Government	Sharun NikeshⒸ
Nova Composites 50% of this team	3rd	Closing Opposition	Sharun NikeshⒸ
CityUHK A	3rd	Opening Opposition	Park YoungwooⒸ , Vu Duc Hung Allen
Team Australia	1st	Opening Government	Park YoungwooⒸ , Vu Duc Hung Allen
Mchua A	2nd	Closing Government	Park YoungwooⒸ , Vu Duc Hung Allen
JH	4th	Closing Opposition	Park YoungwooⒸ , Vu Duc Hung Allen
DKU Orbis linguam	3rd	Opening Government	Maeca PansensoyⒸ
ILoVetEamChina	2nd	Opening Opposition	Maeca PansensoyⒸ
Nova Shrimp Tempura	4th	Closing Government	Maeca PansensoyⒸ
Shanghai Oreo	1st	Closing Opposition	Maeca PansensoyⒸ
Oriental Alchemists	3rd	Opening Government	Judy JIⒸ
Everlasting Passion	1st	Opening Opposition	Judy JIⒸ
Two Little Rizzlers	4th	Closing Government	Judy JIⒸ
DKU Deep Fried Oreos	2nd	Closing Opposition	Judy JIⒸ
I Killed My Duolingo	3rd	Opening Government	Miro FortunaⒸ
Cocacola	2nd	Opening Opposition	Miro FortunaⒸ
Whatever	1st	Closing Government	Miro FortunaⒸ
Mocha Chocolate	4th	Closing Opposition	Miro FortunaⒸ
CW LJ	3rd	Opening Government	Prashasti SaxenaⒸ , Ian Qiu
We&#x27;re not invited	1st	Opening Opposition	Prashasti SaxenaⒸ , Ian Qiu
Mmmmm, K	4th	Closing Government	Prashasti SaxenaⒸ , Ian Qiu
CW SC	2nd	Closing Opposition	Prashasti SaxenaⒸ , Ian Qiu
Abnormal	2nd	Opening Government	Christopher ChuaⒸ
strawberry	1st	Opening Opposition	Christopher ChuaⒸ
MUST D	3rd	Closing Government	Christopher ChuaⒸ
LOZO IDK	4th	Closing Opposition	Christopher ChuaⒸ
CW CK	1st	Opening Government	Kenji TateⒸ
Better Up！！！	2nd	Opening Opposition	Kenji TateⒸ
Cutsies Fruties	4th	Closing Government	Kenji TateⒸ
Big babies	3rd	Closing Opposition	Kenji TateⒸ
Madam Chair, the Global Poor	4th	Opening Government	Mezen LababidiⒸ
Tough Love	3rd	Opening Opposition	Mezen LababidiⒸ
Nova MT	1st	Closing Government	Mezen LababidiⒸ
Nova Basketboy	2nd	Closing Opposition	Mezen LababidiⒸ
GMUK C	4th	Opening Government	Adel Mostaque AhmedⒸ
Starberry	1st	Opening Opposition	Adel Mostaque AhmedⒸ
Bluestone	2nd	Closing Government	Adel Mostaque AhmedⒸ
B&amp;I	3rd	Closing Opposition	Adel Mostaque AhmedⒸ
Carelle	1st	Opening Government	Kyle Louis RamosⒸ
GDP 1	2nd	Opening Opposition	Kyle Louis RamosⒸ
Big Macs	3rd	Closing Government	Kyle Louis RamosⒸ
GMUK A	4th	Closing Opposition	Kyle Louis RamosⒸ
CW TG	1st	Opening Government	Asif Mehedi AdiⒸ
Ethan Gao	3rd	Opening Opposition	Asif Mehedi AdiⒸ
McFlurry	4th	Closing Government	Asif Mehedi AdiⒸ
PLKC A	2nd	Closing Opposition	Asif Mehedi AdiⒸ
Charli XCX? We are Careless XXX	1st	Opening Government	Klaudia MaciejewskaⒸ , Garrett Li
XxNoBossJustHacksxX	3rd	Opening Opposition	Klaudia MaciejewskaⒸ , Garrett Li
MUST C	4th	Closing Opposition	Klaudia MaciejewskaⒸ , Garrett Li
Silver Fainted	2nd	Closing Government	Klaudia MaciejewskaⒸ , Garrett Li
DKUAE	3rd	Opening Government	Jonathan TuliaoⒸ
CW RC	1st	Opening Opposition	Jonathan TuliaoⒸ
Jellycat lovers	2nd	Closing Government	Jonathan TuliaoⒸ
DeepSick	4th	Closing Opposition	Jonathan TuliaoⒸ
shella	4th	Opening Government	Jordyn GibsonⒸ
Xiao Bai	1st	Opening Opposition	Jordyn GibsonⒸ
Tung tung sahur	3rd	Closing Government	Jordyn GibsonⒸ
Smart is just an Adjective to descr	2nd	Closing Opposition	Jordyn GibsonⒸ
November Rain	3rd	Opening Government	Neackle MempinⒸ
Enemies to partners	1st	Opening Opposition	Neackle MempinⒸ
DKU Chipakam	2nd	Closing Government	Neackle MempinⒸ
CW EK	4th	Closing Opposition	Neackle MempinⒸ
XxNoHacksJustBossxX	3rd	Opening Government	Cj SalayoⒸ
CW AB	1st	Opening Opposition	Cj SalayoⒸ
Swing 250	4th	Closing Government	Cj SalayoⒸ
RSG Emerald	2nd	Closing Opposition	Cj SalayoⒸ
Tung-Oh Go Away!	1st	Opening Government	Aliyah HerlihyⒸ
RSG Diamond	4th	Opening Opposition	Aliyah HerlihyⒸ
Love and Kindness to Humanity	2nd	Closing Government	Aliyah HerlihyⒸ
Titan	3rd	Closing Opposition	Aliyah HerlihyⒸ
CW AC	3rd	Opening Government	Francis VendiolaⒸ
LOZO - I’ll ask Charlotte	1st	Opening Opposition	Francis VendiolaⒸ
Hallabong 1	4th	Closing Government	Francis VendiolaⒸ
SUFE A	2nd	Closing Opposition	Francis VendiolaⒸ
RSG Red	3rd	Opening Government	Kyle GoⒸ
RSG Sapphire	2nd	Opening Opposition	Kyle GoⒸ
We don’t have a 1st speaker	4th	Closing Government	Kyle GoⒸ
CW JI	1st	Closing Opposition	Kyle GoⒸ
CW NK	3rd	Opening Government	Gabrielle PacañoⒸ
Mr Hobo	2nd	Opening Opposition	Gabrielle PacañoⒸ
CW MG	1st	Closing Government	Gabrielle PacañoⒸ
Two unprofessional dancers	4th	Closing Opposition	Gabrielle PacañoⒸ
The Underdogs	2nd	Opening Opposition	Daniel Christopher HaducaⒸ
Agile Minds	3rd	Closing Opposition	Daniel Christopher HaducaⒸ
Nova Cannot Eat Wine	4th	Opening Government	Daniel Christopher HaducaⒸ
CW TP	1st	Closing Government	Daniel Christopher HaducaⒸ
CW JR	1st	Opening Government	Ben BensaliⒸ
Socratic Sparks	4th	Opening Opposition	Ben BensaliⒸ
This is a wug	2nd	Closing Government	Ben BensaliⒸ
LnR	3rd	Closing Opposition	Ben BensaliⒸ
Iphone SE	4th	Opening Government	Matcha CualⒸ
Exons	2nd	Closing Opposition	Matcha CualⒸ
MUST A	3rd	Closing Government	Matcha CualⒸ
CW JH	1st	Opening Opposition	Matcha CualⒸ
LOZO - Too busy to reply when Coach	3rd	Opening Government	Jing Yu MaⒸ
Nova 4AM	4th	Closing Government	Jing Yu MaⒸ
Name Pending（Please Hold）	2nd	Closing Opposition	Jing Yu MaⒸ
CW MO	1st	Opening Opposition	Jing Yu MaⒸ
GDP 2	3rd	Opening Government	KavisshnuⒸ
PLKC B	2nd	Opening Opposition	KavisshnuⒸ
Gambetto	4th	Closing Opposition	KavisshnuⒸ
CW JB	1st	Closing Government	KavisshnuⒸ
CW KH	2nd	Opening Government	Umar FazlanⒸ
Blue Sky Kindergarten	3rd	Opening Opposition	Umar FazlanⒸ
Team Africa	1st	Closing Government	Umar FazlanⒸ
guava	4th	Closing Opposition	Umar FazlanⒸ
Nova Calamari	1st	Opening Opposition	Ngô Minh Kiên JackⒸ
DKU are you sober?	3rd	Opening Government	Ngô Minh Kiên JackⒸ
RSG Silver	2nd	Closing Government	Ngô Minh Kiên JackⒸ
GMUK B	4th	Closing Opposition	Ngô Minh Kiên JackⒸ
Lawful Troublemakers	3rd	Opening Government	Liam OldreyⒸ
very mindful, very demure	2nd	Closing Government	Liam OldreyⒸ
FDU A	4th	Closing Opposition	Liam OldreyⒸ
CW CS	1st	Opening Opposition	Liam OldreyⒸ
Chocolate taco	2nd	Opening Government	Ken SingsonⒸ
Eighteen	4th	Opening Opposition	Ken SingsonⒸ
Patina	1st	Closing Government	Ken SingsonⒸ
CW LW	3rd	Closing Opposition	Ken SingsonⒸ
Lex Ultima	4th	Opening Government	Louise WeeⒸ
Call It	1st	Opening Opposition	Louise WeeⒸ
SUFE B	2nd	Closing Government	Louise WeeⒸ
DKU Waiguo Girls	3rd	Closing Opposition	Louise WeeⒸ
CW AE	2nd	Opening Opposition	Lia TanⒸ
Hdkwodndi	4th	Opening Government	Lia TanⒸ
One moment	1st	Closing Government	Lia TanⒸ
Autumn Girls	3rd	Closing Opposition	Lia TanⒸ
Charlie Bucket	4th	Opening Opposition	Bea LegaspiⒸ , Alikhan
Motion Sickness	3rd	Closing Opposition	Bea LegaspiⒸ , Alikhan
CW BV	1st	Closing Government	Bea LegaspiⒸ , Alikhan
VADP LN	2nd	Opening Government	Bea LegaspiⒸ , Alikhan
LOZO - Wait Please No	3rd	Opening Government	Jaed BengzonⒸ
Schrodingers arguments	1st	Closing Opposition	Jaed BengzonⒸ
Talk That Sheet	2nd	Opening Opposition	Jaed BengzonⒸ
VADP Double2Tam	4th	Closing Government	Jaed BengzonⒸ
SUFE C	2nd	Closing Government	Daniella BarbacenaⒸ
Hallabong 2	1st	Opening Opposition	Daniella BarbacenaⒸ
VADP HDPA	3rd	Opening Government	Daniella BarbacenaⒸ
Nova A Leg Splitting Frog	4th	Closing Opposition	Daniella BarbacenaⒸ
CW AI	1st	Opening Government	George ChenⒸ
CW ME	2nd	Closing Government	George ChenⒸ
U 16	3rd	Closing Opposition	George ChenⒸ
SUFE Encounter	4th	Opening Opposition	George ChenⒸ


team	result	side	adjudicators
Titan	2nd	Opening Government	Cj SalayoⒸ
DKU are you sober?	3rd	Opening Opposition	Cj SalayoⒸ
Oriental Alchemists	1st	Closing Government	Cj SalayoⒸ
DKUAE	4th	Closing Opposition	Cj SalayoⒸ
B&amp;I	2nd	Opening Government	Neackle MempinⒸ
I Killed My Duolingo	3rd	Opening Opposition	Neackle MempinⒸ
CW AC	1st	Closing Government	Neackle MempinⒸ
Lawful Troublemakers	4th	Closing Opposition	Neackle MempinⒸ
CW JH	3rd	Opening Government	Kenji TateⒸ
Carelle	1st	Opening Opposition	Kenji TateⒸ
Call It	4th	Closing Government	Kenji TateⒸ
strawberry	2nd	Closing Opposition	Kenji TateⒸ
Big Macs	3rd	Opening Government	KavisshnuⒸ
MUST D	2nd	Opening Opposition	KavisshnuⒸ
LOZO - Too busy to reply when Coach	4th	Closing Government	KavisshnuⒸ
MUST A	1st	Closing Opposition	KavisshnuⒸ
Nova Composites 50% of this team	1st	Opening Government	Liam OldreyⒸ
CW NK	3rd	Opening Opposition	Liam OldreyⒸ
XxNoHacksJustBossxX	2nd	Closing Government	Liam OldreyⒸ
November Rain	4th	Closing Opposition	Liam OldreyⒸ
DKU Deep Fried Oreos	4th	Closing Government	Park YoungwooⒸ , Ian Qiu
One moment	1st	Opening Opposition	Park YoungwooⒸ , Ian Qiu
Starberry	2nd	Opening Government	Park YoungwooⒸ , Ian Qiu
CW MO	3rd	Closing Opposition	Park YoungwooⒸ , Ian Qiu
Team Africa	1st	Opening Government	Kyle GoⒸ
Patina	3rd	Opening Opposition	Kyle GoⒸ
Nova Calamari	4th	Closing Opposition	Kyle GoⒸ
CW CK	2nd	Closing Government	Kyle GoⒸ
CW AI	2nd	Closing Government	Umar FazlanⒸ
Tung-Oh Go Away!	3rd	Opening Opposition	Umar FazlanⒸ
CW JR	4th	Closing Opposition	Umar FazlanⒸ
We&#x27;re not invited	1st	Opening Government	Umar FazlanⒸ
Everlasting Passion	2nd	Opening Government	Asif Mehedi AdiⒸ
DKU Chipakam	3rd	Opening Opposition	Asif Mehedi AdiⒸ
Team Australia	1st	Closing Government	Asif Mehedi AdiⒸ
CW JB	4th	Closing Opposition	Asif Mehedi AdiⒸ
Ethan Gao	1st	Opening Government	Sharun NikeshⒸ
Agile Minds	4th	Opening Opposition	Sharun NikeshⒸ
Autumn Girls	2nd	Closing Government	Sharun NikeshⒸ
Time is ticking！！！	3rd	Closing Opposition	Sharun NikeshⒸ
Two unprofessional dancers	3rd	Opening Government	Ken SingsonⒸ
We don’t have a 1st speaker	2nd	Opening Opposition	Ken SingsonⒸ
Nova A Leg Splitting Frog	4th	Closing Government	Ken SingsonⒸ
Hallabong 1	1st	Closing Opposition	Ken SingsonⒸ
LOZO - I’ll ask Charlotte	3rd	Opening Government	Vinodhan KuppusamyⒸ , Daniella Barbacena
CW TG	1st	Closing Government	Vinodhan KuppusamyⒸ , Daniella Barbacena
Enemies to partners	4th	Closing Opposition	Vinodhan KuppusamyⒸ , Daniella Barbacena
CW BV	2nd	Opening Opposition	Vinodhan KuppusamyⒸ , Daniella Barbacena
VADP HDPA	2nd	Opening Opposition	Gabrielle PacañoⒸ
shella	3rd	Closing Government	Gabrielle PacañoⒸ
Lex Ultima	4th	Closing Opposition	Gabrielle PacañoⒸ
Motion Sickness	1st	Opening Government	Gabrielle PacañoⒸ
DKU Waiguo Girls	2nd	Opening Opposition	Adel Mostaque AhmedⒸ
CW LW	3rd	Closing Government	Adel Mostaque AhmedⒸ
CityUHK A	1st	Closing Opposition	Adel Mostaque AhmedⒸ
Blue Sky Kindergarten	4th	Opening Government	Adel Mostaque AhmedⒸ
CW EM	4th	Opening Government	Francis VendiolaⒸ
CW LJ	3rd	Opening Opposition	Francis VendiolaⒸ
LOZO - Wait Please No	2nd	Closing Government	Francis VendiolaⒸ
XxNoBossJustHacksxX	1st	Closing Opposition	Francis VendiolaⒸ
CW KH	1st	Opening Opposition	Jaed BengzonⒸ
Mchua A	2nd	Opening Government	Jaed BengzonⒸ
