
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
Harvard AL	3rd	Opening Government	View Ballot	Tanvir ShahriarⒸ , Arturo Serrano Borrero , Brian Conde Martinez
Harvard GM	1st	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Arturo Serrano Borrero , Brian Conde Martinez
Rochester IN	4th	Closing Government	View Ballot	Tanvir ShahriarⒸ , Arturo Serrano Borrero , Brian Conde Martinez
UCBerkeley XK	2nd	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Arturo Serrano Borrero , Brian Conde Martinez
HH The Last Dance	1st	Opening Government	View Ballot	Manuel MachorroⒸ , Andy Yescas , Justin Wu
McGill WA	2nd	Opening Opposition	View Ballot	Manuel MachorroⒸ , Andy Yescas , Justin Wu
Californication	4th	Closing Government	View Ballot	Manuel MachorroⒸ , Andy Yescas , Justin Wu
Alberta A	3rd	Closing Opposition	View Ballot	Manuel MachorroⒸ , Andy Yescas , Justin Wu
MLE Choppa	2nd	Opening Government	View Ballot	Stephanie ChenⒸ , Anette Xia , James Lewis
California girls, we&#x27;re unforgetta	1st	Opening Opposition	View Ballot	Stephanie ChenⒸ , Anette Xia , James Lewis
TEC CEM Torta de Chilaquil	3rd	Closing Government	View Ballot	Stephanie ChenⒸ , Anette Xia , James Lewis
TMX Jose y Luis	4th	Closing Opposition	View Ballot	Stephanie ChenⒸ , Anette Xia , James Lewis
Yale ST	3rd	Opening Government	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Pranav Anand
Last Hurrah	4th	Opening Opposition	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Pranav Anand
Columbia C	1st	Closing Government	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Pranav Anand
UBC TB	2nd	Closing Opposition	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Pranav Anand
/the/ mini eggs !	3rd	Opening Government	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
Columbia A	1st	Opening Opposition	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
TMX Azulitos	2nd	Closing Government	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
HWS C	4th	Closing Opposition	View Ballot	Elgin LinⒸ , Sabás Alejandro Colmenares Lasnibat
Dartmouth C	1st	Opening Government	View Ballot	Daksha PillaiⒸ , Celine Nghiem
TEC CEM Tacos de mixiote	4th	Opening Opposition	View Ballot	Daksha PillaiⒸ , Celine Nghiem
Technocratic communism	2nd	Closing Government	View Ballot	Daksha PillaiⒸ , Celine Nghiem
TECTOL-UAEMEX	3rd	Closing Opposition	View Ballot	Daksha PillaiⒸ , Celine Nghiem
María y Brisa	4th	Opening Government	View Ballot	Madeleine FordhamⒸ , Gianluca Lo Porto , Nathaniel Tesfaye
Columbia B	2nd	Opening Opposition	View Ballot	Madeleine FordhamⒸ , Gianluca Lo Porto , Nathaniel Tesfaye
USC SW	1st	Closing Government	View Ballot	Madeleine FordhamⒸ , Gianluca Lo Porto , Nathaniel Tesfaye
Dartmouth B	3rd	Closing Opposition	View Ballot	Madeleine FordhamⒸ , Gianluca Lo Porto , Nathaniel Tesfaye
Middlebury SG	4th	Opening Government	View Ballot	Audrey MelodyⒸ , Emily Zhang , Nitin Alagu
USC LD	3rd	Opening Opposition	View Ballot	Audrey MelodyⒸ , Emily Zhang , Nitin Alagu
Stanford AG	1st	Closing Government	View Ballot	Audrey MelodyⒸ , Emily Zhang , Nitin Alagu
UCBerkeley Blue	2nd	Closing Opposition	View Ballot	Audrey MelodyⒸ , Emily Zhang , Nitin Alagu
Kalavagunta and Lu	1st	Opening Government	View Ballot	Serena YuanⒸ , Kenn Jiang , Mauricio Jarufe Caballero
Yale NS	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Kenn Jiang , Mauricio Jarufe Caballero
McGill RM	2nd	Closing Government	View Ballot	Serena YuanⒸ , Kenn Jiang , Mauricio Jarufe Caballero
UWODS A	4th	Closing Opposition	View Ballot	Serena YuanⒸ , Kenn Jiang , Mauricio Jarufe Caballero


team	result	side	ballot	adjudicators
UCBerkeley AD	4th	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Felix Leonhardt , Jorge Alberto Galindo Jasso
California girls, we&#x27;re unforgetta	2nd	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Felix Leonhardt , Jorge Alberto Galindo Jasso
UWODS A	1st	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Felix Leonhardt , Jorge Alberto Galindo Jasso
HH Whose gonna carry the boat?!	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Felix Leonhardt , Jorge Alberto Galindo Jasso
Stanford TY	1st	Opening Government	View Ballot	Daksha PillaiⒸ , Valerie Pang , William Chen
Middlebury SW	4th	Opening Opposition	View Ballot	Daksha PillaiⒸ , Valerie Pang , William Chen
/the/ mini eggs !	3rd	Closing Government	View Ballot	Daksha PillaiⒸ , Valerie Pang , William Chen
Stanford BZ	2nd	Closing Opposition	View Ballot	Daksha PillaiⒸ , Valerie Pang , William Chen
Dartmouth C	3rd	Opening Government	View Ballot	Eric TuⒸ , Molly Callaghan , William Zhang
USC LD	2nd	Opening Opposition	View Ballot	Eric TuⒸ , Molly Callaghan , William Zhang
TMX Jose y Luis	4th	Closing Government	View Ballot	Eric TuⒸ , Molly Callaghan , William Zhang
Middlebury SM	1st	Closing Opposition	View Ballot	Eric TuⒸ , Molly Callaghan , William Zhang
HH The Last Dance	3rd	Opening Government	View Ballot	Pranav AnandⒸ , Jasmine Goncalves Piment , Ken Tieu
McGill RM	2nd	Opening Opposition	View Ballot	Pranav AnandⒸ , Jasmine Goncalves Piment , Ken Tieu
Yale NS	1st	Closing Government	View Ballot	Pranav AnandⒸ , Jasmine Goncalves Piment , Ken Tieu
Stanford QF	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Jasmine Goncalves Piment , Ken Tieu
Stanford AG	3rd	Opening Government	View Ballot	Elgin LinⒸ , Justin Wu , Regina Delgado AcevedoⓉ
TEC CEM Chile Relleno	4th	Opening Opposition	View Ballot	Elgin LinⒸ , Justin Wu , Regina Delgado AcevedoⓉ
HWS B	2nd	Closing Government	View Ballot	Elgin LinⒸ , Justin Wu , Regina Delgado AcevedoⓉ
TEC CEM Torta de Chilaquil	1st	Closing Opposition	View Ballot	Elgin LinⒸ , Justin Wu , Regina Delgado AcevedoⓉ
Kalavagunta and Lu	2nd	Opening Government	View Ballot	Meg KandarpaⒸ , Cayden Pocrass , Nathaniel Tesfaye
Stanford LS	1st	Opening Opposition	View Ballot	Meg KandarpaⒸ , Cayden Pocrass , Nathaniel Tesfaye
Dartmouth A	3rd	Closing Government	View Ballot	Meg KandarpaⒸ , Cayden Pocrass , Nathaniel Tesfaye
Columbia C	4th	Closing Opposition	View Ballot	Meg KandarpaⒸ , Cayden Pocrass , Nathaniel Tesfaye
Welcome to the Hotel California	3rd	Opening Government	View Ballot	Lelan HuⒸ , Ann Tran , Vallerya Acuna
HH $2.4 Million Settlement	4th	Opening Opposition	View Ballot	Lelan HuⒸ , Ann Tran , Vallerya Acuna
MLE Choppa	1st	Closing Government	View Ballot	Lelan HuⒸ , Ann Tran , Vallerya Acuna
Swarthmore A	2nd	Closing Opposition	View Ballot	Lelan HuⒸ , Ann Tran , Vallerya Acuna
Queen&#x27;s Annika Tucker	4th	Opening Government	View Ballot	Serena YuanⒸ , Hayley Cheung , Sabás Alejandro Colmenares Lasnibat
Rochester IN	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Hayley Cheung , Sabás Alejandro Colmenares Lasnibat
2 of Amerikaz Most Wanted	2nd	Closing Government	View Ballot	Serena YuanⒸ , Hayley Cheung , Sabás Alejandro Colmenares Lasnibat
Yale LM	1st	Closing Opposition	View Ballot	Serena YuanⒸ , Hayley Cheung , Sabás Alejandro Colmenares Lasnibat
HH Xi Simping	2nd	Opening Government	View Ballot	Stephanie ChenⒸ , Audrey Melody , Kenn JiangⓉ
Duke SZ	4th	Opening Opposition	View Ballot	Stephanie ChenⒸ , Audrey Melody , Kenn JiangⓉ
Last Hurrah	3rd	Closing Government	View Ballot	Stephanie ChenⒸ , Audrey Melody , Kenn JiangⓉ
HH VAMOSSSSSS	1st	Closing Opposition	View Ballot	Stephanie ChenⒸ , Audrey Melody , Kenn JiangⓉ
Paradise City	4th	Opening Government	View Ballot	Tanvir ShahriarⒸ , Celine Nghiem , James Lewis
Alberta A	3rd	Opening Opposition	View Ballot	Tanvir ShahriarⒸ , Celine Nghiem , James Lewis
Yale DG	2nd	Closing Government	View Ballot	Tanvir ShahriarⒸ , Celine Nghiem , James Lewis
Yale ST	1st	Closing Opposition	View Ballot	Tanvir ShahriarⒸ , Celine Nghiem , James Lewis
TEC CEM Tacos de mixiote	2nd	Opening Government	View Ballot	Greg KwokⒸ , Preethi Mohan
TECTOL-UAEMEX	3rd	Opening Opposition	View Ballot	Greg KwokⒸ , Preethi Mohan
Dartmouth B	1st	Closing Government	View Ballot	Greg KwokⒸ , Preethi Mohan
Red Raider Debaters	4th	Closing Opposition	View Ballot	Greg KwokⒸ , Preethi Mohan
Harvard AL	1st	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Eric Guadarrama Cruz , Vanessa Arroyo
UCBerkeley XK	3rd	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Eric Guadarrama Cruz , Vanessa Arroyo
Stanford BD	2nd	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Eric Guadarrama Cruz , Vanessa Arroyo
UWODS CL	4th	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Eric Guadarrama Cruz , Vanessa Arroyo
Stanford KR	4th	Opening Government	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Silin Wei
Californication	3rd	Opening Opposition	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Silin Wei
Columbia A	2nd	Closing Government	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Silin Wei
Queen&#x27;s Lily Larkins	1st	Closing Opposition	View Ballot	Isolda VelaⒸ , Kira Waldhalm , Silin Wei
Technocratic communism	2nd	Opening Government	View Ballot	Arturo Serrano BorreroⒸ , Rohan Goda
SCREEE	4th	Opening Opposition	View Ballot	Arturo Serrano BorreroⒸ , Rohan Goda
Middlebury SG	1st	Closing Government	View Ballot	Arturo Serrano BorreroⒸ , Rohan Goda
María y Brisa	3rd	Closing Opposition	View Ballot	Arturo Serrano BorreroⒸ , Rohan Goda
UCBerkeley Blue	3rd	Opening Government	View Ballot	Anette XiaⒸ , Emily Zhang , Gianluca Lo Porto
UCBerkeley HE	1st	Opening Opposition	View Ballot	Anette XiaⒸ , Emily Zhang , Gianluca Lo Porto
USC BK	2nd	Closing Government	View Ballot	Anette XiaⒸ , Emily Zhang , Gianluca Lo Porto
TEC CEM Quesadillas &lt;3	4th	Closing Opposition	View Ballot	Anette XiaⒸ , Emily Zhang , Gianluca Lo Porto
ITESM TOLUCA SS	4th	Opening Government	View Ballot	Madeleine FordhamⒸ , Jack Morgenstein , Natalia García
PandITAM	3rd	Opening Opposition	View Ballot	Madeleine FordhamⒸ , Jack Morgenstein , Natalia García
TMX Azulitos	2nd	Closing Government	View Ballot	Madeleine FordhamⒸ , Jack Morgenstein , Natalia García
USC SW	1st	Closing Opposition	View Ballot	Madeleine FordhamⒸ , Jack Morgenstein , Natalia García
Harvard HS	2nd	Opening Government	View Ballot	Manuel MachorroⒸ , Casey Powell , Muhammad Asfandyar
Harvard GM	1st	Opening Opposition	View Ballot	Manuel MachorroⒸ , Casey Powell , Muhammad Asfandyar
McGill WA	3rd	Closing Government	View Ballot	Manuel MachorroⒸ , Casey Powell , Muhammad Asfandyar
EDS A	4th	Closing Opposition	View Ballot	Manuel MachorroⒸ , Casey Powell , Muhammad Asfandyar
McGill LT	3rd	Opening Government	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Andy YescasⓉ
Columbia B	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Andy YescasⓉ
maybe I&#x27;m delusional ☝️ debate is 	1st	Closing Government	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Andy YescasⓉ
HWS C	4th	Closing Opposition	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Andy YescasⓉ
Queen&#x27;s Nimai Abernethy	2nd	Opening Government	View Ballot	Juanita Hincapié RestrepoⒸ , Arturo Aubry , Nitin Alagu
Stanford CT	3rd	Opening Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Arturo Aubry , Nitin Alagu
UBC TB	1st	Closing Government	View Ballot	Juanita Hincapié RestrepoⒸ , Arturo Aubry , Nitin Alagu
HWS A	4th	Closing Opposition	View Ballot	Juanita Hincapié RestrepoⒸ , Arturo Aubry , Nitin Alagu


team	result	side	ballot	adjudicators
María y Brisa	2nd	Opening Government	View Ballot	Casey PowellⒸ , James Lewis
TEC CEM Tacos de mixiote	1st	Opening Opposition	View Ballot	Casey PowellⒸ , James Lewis
Red Raider Debaters	3rd	Closing Government	View Ballot	Casey PowellⒸ , James Lewis
TECTOL-UAEMEX	4th	Closing Opposition	View Ballot	Casey PowellⒸ , James Lewis
SCREEE	1st	Opening Government	View Ballot	Natalia GarcíaⒸ , Ann Tran , Brian Conde Martinez
TMX Jose y Luis	4th	Opening Opposition	View Ballot	Natalia GarcíaⒸ , Ann Tran , Brian Conde Martinez
HWS C	3rd	Closing Government	View Ballot	Natalia GarcíaⒸ , Ann Tran , Brian Conde Martinez
Queen&#x27;s Annika Tucker	2nd	Closing Opposition	View Ballot	Natalia GarcíaⒸ , Ann Tran , Brian Conde Martinez
Queen&#x27;s Lily Larkins	4th	Opening Government	View Ballot	Valerie PangⒸ , Arturo Serrano Borrero , Sabás Alejandro Colmenares Lasnibat
Yale DG	2nd	Opening Opposition	View Ballot	Valerie PangⒸ , Arturo Serrano Borrero , Sabás Alejandro Colmenares Lasnibat
HWS A	1st	Closing Government	View Ballot	Valerie PangⒸ , Arturo Serrano Borrero , Sabás Alejandro Colmenares Lasnibat
McGill WA	3rd	Closing Opposition	View Ballot	Valerie PangⒸ , Arturo Serrano Borrero , Sabás Alejandro Colmenares Lasnibat
MLE Choppa	4th	Opening Government	View Ballot	Eric TuⒸ , Gianluca Lo Porto , Serena Yuan
Columbia C	3rd	Opening Opposition	View Ballot	Eric TuⒸ , Gianluca Lo Porto , Serena Yuan
Queen&#x27;s Nimai Abernethy	1st	Closing Government	View Ballot	Eric TuⒸ , Gianluca Lo Porto , Serena Yuan
Stanford BD	2nd	Closing Opposition	View Ballot	Eric TuⒸ , Gianluca Lo Porto , Serena Yuan
UCBerkeley HE	2nd	Opening Government	View Ballot	Ken TieuⒸ , Kira Waldhalm , Tanvir Shahriar
HWS B	1st	Opening Opposition	View Ballot	Ken TieuⒸ , Kira Waldhalm , Tanvir Shahriar
Yale LM	4th	Closing Government	View Ballot	Ken TieuⒸ , Kira Waldhalm , Tanvir Shahriar
UCBerkeley AD	3rd	Closing Opposition	View Ballot	Ken TieuⒸ , Kira Waldhalm , Tanvir Shahriar
maybe I&#x27;m delusional ☝️ debate is 	1st	Opening Government	View Ballot	Molly CallaghanⒸ , Jack Morgenstein , Varun Lodaya
TEC CEM Quesadillas &lt;3	2nd	Opening Opposition	View Ballot	Molly CallaghanⒸ , Jack Morgenstein , Varun Lodaya
TEC CEM Chile Relleno	4th	Closing Government	View Ballot	Molly CallaghanⒸ , Jack Morgenstein , Varun Lodaya
Rochester IN	3rd	Closing Opposition	View Ballot	Molly CallaghanⒸ , Jack Morgenstein , Varun Lodaya
Harvard GM	3rd	Opening Government	View Ballot	Daksha PillaiⒸ , Elgin Lin , William Chen
Dartmouth A	1st	Opening Opposition	View Ballot	Daksha PillaiⒸ , Elgin Lin , William Chen
UWODS A	4th	Closing Government	View Ballot	Daksha PillaiⒸ , Elgin Lin , William Chen
Yale NS	2nd	Closing Opposition	View Ballot	Daksha PillaiⒸ , Elgin Lin , William Chen
TEC CEM Torta de Chilaquil	4th	Opening Government	View Ballot	Madeleine FordhamⒸ , Emily Zhang , Juanita Hincapié Restrepo
HH VAMOSSSSSS	2nd	Opening Opposition	View Ballot	Madeleine FordhamⒸ , Emily Zhang , Juanita Hincapié Restrepo
Swarthmore A	1st	Closing Government	View Ballot	Madeleine FordhamⒸ , Emily Zhang , Juanita Hincapié Restrepo
Alberta A	3rd	Closing Opposition	View Ballot	Madeleine FordhamⒸ , Emily Zhang , Juanita Hincapié Restrepo
McGill RM	2nd	Opening Government	View Ballot	Pranav AnandⒸ , Vallerya Acuna , Vanessa Arroyo
Kalavagunta and Lu	1st	Opening Opposition	View Ballot	Pranav AnandⒸ , Vallerya Acuna , Vanessa Arroyo
Stanford LS	3rd	Closing Government	View Ballot	Pranav AnandⒸ , Vallerya Acuna , Vanessa Arroyo
UBC TB	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Vallerya Acuna , Vanessa Arroyo
Middlebury SW	4th	Opening Government	View Ballot	Rohan GodaⒸ , Nathaniel Tesfaye
McGill LT	3rd	Opening Opposition	View Ballot	Rohan GodaⒸ , Nathaniel Tesfaye
Dartmouth C	2nd	Closing Government	View Ballot	Rohan GodaⒸ , Nathaniel Tesfaye
Dartmouth B	1st	Closing Opposition	View Ballot	Rohan GodaⒸ , Nathaniel Tesfaye
Last Hurrah	3rd	Opening Government	View Ballot	Meg KandarpaⒸ , Stephanie Chen
HH Whose gonna carry the boat?!	2nd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Stephanie Chen
Stanford TY	4th	Closing Government	View Ballot	Meg KandarpaⒸ , Stephanie Chen
Columbia A	1st	Closing Opposition	View Ballot	Meg KandarpaⒸ , Stephanie Chen
Duke SZ	4th	Opening Government	View Ballot	Felix LeonhardtⒸ , Fernanda Crousillat Rayter , Regina Delgado Acevedo
Paradise City	2nd	Opening Opposition	View Ballot	Felix LeonhardtⒸ , Fernanda Crousillat Rayter , Regina Delgado Acevedo
USC LD	1st	Closing Government	View Ballot	Felix LeonhardtⒸ , Fernanda Crousillat Rayter , Regina Delgado Acevedo
2 of Amerikaz Most Wanted	3rd	Closing Opposition	View Ballot	Felix LeonhardtⒸ , Fernanda Crousillat Rayter , Regina Delgado Acevedo
Stanford CT	3rd	Opening Government	View Ballot	Manuel MachorroⒸ , Jorge Alberto Galindo Jasso , Muhammad Asfandyar
Stanford QF	1st	Opening Opposition	View Ballot	Manuel MachorroⒸ , Jorge Alberto Galindo Jasso , Muhammad Asfandyar
California girls, we&#x27;re unforgetta	2nd	Closing Government	View Ballot	Manuel MachorroⒸ , Jorge Alberto Galindo Jasso , Muhammad Asfandyar
Harvard AL	4th	Closing Opposition	View Ballot	Manuel MachorroⒸ , Jorge Alberto Galindo Jasso , Muhammad Asfandyar
UWODS CL	4th	Opening Government	View Ballot	William ZhangⒸ , Cayden Pocrass , Lelan Hu
TMX Azulitos	3rd	Opening Opposition	View Ballot	William ZhangⒸ , Cayden Pocrass , Lelan Hu
Middlebury SM	2nd	Closing Government	View Ballot	William ZhangⒸ , Cayden Pocrass , Lelan Hu
USC BK	1st	Closing Opposition	View Ballot	William ZhangⒸ , Cayden Pocrass , Lelan Hu
UCBerkeley XK	4th	Opening Government	View Ballot	Audrey MelodyⒸ , Jasmine Goncalves Piment , Nitin Alagu
Harvard HS	2nd	Opening Opposition	View Ballot	Audrey MelodyⒸ , Jasmine Goncalves Piment , Nitin Alagu
HH The Last Dance	3rd	Closing Government	View Ballot	Audrey MelodyⒸ , Jasmine Goncalves Piment , Nitin Alagu
Yale ST	1st	Closing Opposition	View Ballot	Audrey MelodyⒸ , Jasmine Goncalves Piment , Nitin Alagu
Stanford BZ	3rd	Opening Government	View Ballot	Anette XiaⒸ , Arturo Aubry , Justin Wu
/the/ mini eggs !	1st	Opening Opposition	View Ballot	Anette XiaⒸ , Arturo Aubry , Justin Wu
ITESM TOLUCA SS	2nd	Closing Government	View Ballot	Anette XiaⒸ , Arturo Aubry , Justin Wu
Technocratic communism	4th	Closing Opposition	View Ballot	Anette XiaⒸ , Arturo Aubry , Justin Wu
UCBerkeley Blue	3rd	Opening Government	View Ballot	Silin WeiⒸ , Hayley Cheung , Kenn Jiang
Stanford KR	2nd	Opening Opposition	View Ballot	Silin WeiⒸ , Hayley Cheung , Kenn Jiang
PandITAM	4th	Closing Government	View Ballot	Silin WeiⒸ , Hayley Cheung , Kenn Jiang
Middlebury SG	1st	Closing Opposition	View Ballot	Silin WeiⒸ , Hayley Cheung , Kenn Jiang
HH $2.4 Million Settlement	4th	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Celine Nghiem , Greg Kwok
Stanford AG	2nd	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Celine Nghiem , Greg Kwok
Columbia B	1st	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Celine Nghiem , Greg Kwok
Californication	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Celine Nghiem , Greg Kwok
USC SW	4th	Opening Government	View Ballot	Preethi MohanⒸ , Andy Yescas
EDS A	2nd	Opening Opposition	View Ballot	Preethi MohanⒸ , Andy Yescas
HH Xi Simping	3rd	Closing Government	View Ballot	Preethi MohanⒸ , Andy Yescas
Welcome to the Hotel California	1st	Closing Opposition	View Ballot	Preethi MohanⒸ , Andy Yescas


team	result	side	ballot	adjudicators
McGill WA	2nd	Opening Government	View Ballot	Pranav AnandⒸ , Ann Tran , William Chen
USC BK	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ , Ann Tran , William Chen
HH Whose gonna carry the boat?!	4th	Closing Government	View Ballot	Pranav AnandⒸ , Ann Tran , William Chen
UCBerkeley XK	1st	Closing Opposition	View Ballot	Pranav AnandⒸ , Ann Tran , William Chen
Yale NS	4th	Opening Government	View Ballot	Isolda VelaⒸ , Casey Powell , Hayley Cheung
McGill RM	3rd	Opening Opposition	View Ballot	Isolda VelaⒸ , Casey Powell , Hayley Cheung
Kalavagunta and Lu	2nd	Closing Government	View Ballot	Isolda VelaⒸ , Casey Powell , Hayley Cheung
Stanford LS	1st	Closing Opposition	View Ballot	Isolda VelaⒸ , Casey Powell , Hayley Cheung
Alberta A	3rd	Opening Government	View Ballot	Audrey MelodyⒸ , Stephanie Chen
maybe I&#x27;m delusional ☝️ debate is 	2nd	Opening Opposition	View Ballot	Audrey MelodyⒸ , Stephanie Chen
UCBerkeley AD	4th	Closing Government	View Ballot	Audrey MelodyⒸ , Stephanie Chen
HH Xi Simping	1st	Closing Opposition	View Ballot	Audrey MelodyⒸ , Stephanie Chen
TMX Azulitos	3rd	Opening Government	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Nitin Alagu
USC SW	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Nitin Alagu
Californication	4th	Closing Government	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Nitin Alagu
Last Hurrah	1st	Closing Opposition	View Ballot	Varun LodayaⒸ , Brian Conde Martinez , Nitin Alagu
Swarthmore A	3rd	Opening Government	View Ballot	Meg KandarpaⒸ , Anette Xia , Molly Callaghan
HWS A	2nd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Anette Xia , Molly Callaghan
HWS B	4th	Closing Government	View Ballot	Meg KandarpaⒸ , Anette Xia , Molly Callaghan
California girls, we&#x27;re unforgetta	1st	Closing Opposition	View Ballot	Meg KandarpaⒸ , Anette Xia , Molly Callaghan
EDS A	3rd	Opening Government	View Ballot	Fernanda Crousillat RayterⒸ , Felix Leonhardt , Sabás Alejandro Colmenares Lasnibat
MLE Choppa	2nd	Opening Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Felix Leonhardt , Sabás Alejandro Colmenares Lasnibat
Harvard AL	1st	Closing Government	View Ballot	Fernanda Crousillat RayterⒸ , Felix Leonhardt , Sabás Alejandro Colmenares Lasnibat
Stanford CT	4th	Closing Opposition	View Ballot	Fernanda Crousillat RayterⒸ , Felix Leonhardt , Sabás Alejandro Colmenares Lasnibat
Columbia B	4th	Opening Government	View Ballot	Manuel MachorroⒸ , Kira Waldhalm , Valerie Pang
TEC CEM Torta de Chilaquil	2nd	Opening Opposition	View Ballot	Manuel MachorroⒸ , Kira Waldhalm , Valerie Pang
Queen&#x27;s Lily Larkins	1st	Closing Government	View Ballot	Manuel MachorroⒸ , Kira Waldhalm , Valerie Pang
Stanford AG	3rd	Closing Opposition	View Ballot	Manuel MachorroⒸ , Kira Waldhalm , Valerie Pang
Columbia C	2nd	Opening Government	View Ballot	Natalia GarcíaⒸ , Justin Wu , Regina Delgado Acevedo
UWODS A	1st	Opening Opposition	View Ballot	Natalia GarcíaⒸ , Justin Wu , Regina Delgado Acevedo
HH VAMOSSSSSS	4th	Closing Government	View Ballot	Natalia GarcíaⒸ , Justin Wu , Regina Delgado Acevedo
Yale DG	3rd	Closing Opposition	View Ballot	Natalia GarcíaⒸ , Justin Wu , Regina Delgado Acevedo
Middlebury SG	4th	Opening Government	View Ballot	Serena YuanⒸ , Emily Zhang , Vallerya Acuna
Middlebury SM	3rd	Opening Opposition	View Ballot	Serena YuanⒸ , Emily Zhang , Vallerya Acuna
Paradise City	2nd	Closing Government	View Ballot	Serena YuanⒸ , Emily Zhang , Vallerya Acuna
USC LD	1st	Closing Opposition	View Ballot	Serena YuanⒸ , Emily Zhang , Vallerya Acuna
Columbia A	2nd	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Arturo Serrano Borrero , Jasmine Goncalves Piment
Welcome to the Hotel California	4th	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Arturo Serrano Borrero , Jasmine Goncalves Piment
UCBerkeley HE	3rd	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Arturo Serrano Borrero , Jasmine Goncalves Piment
HH The Last Dance	1st	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Arturo Serrano Borrero , Jasmine Goncalves Piment
Dartmouth B	3rd	Opening Government	View Ballot	Lelan HuⒸ , Celine Nghiem , Eric Guadarrama Cruz
2 of Amerikaz Most Wanted	2nd	Opening Opposition	View Ballot	Lelan HuⒸ , Celine Nghiem , Eric Guadarrama Cruz
TEC CEM Quesadillas &lt;3	4th	Closing Government	View Ballot	Lelan HuⒸ , Celine Nghiem , Eric Guadarrama Cruz
Stanford KR	1st	Closing Opposition	View Ballot	Lelan HuⒸ , Celine Nghiem , Eric Guadarrama Cruz
Stanford QF	4th	Opening Government	View Ballot	Elgin LinⒸ , Rohan Goda
Queen&#x27;s Nimai Abernethy	3rd	Opening Opposition	View Ballot	Elgin LinⒸ , Rohan Goda
Yale ST	2nd	Closing Government	View Ballot	Elgin LinⒸ , Rohan Goda
Dartmouth A	1st	Closing Opposition	View Ballot	Elgin LinⒸ , Rohan Goda
TEC CEM Chile Relleno	4th	Opening Government	View Ballot	Daksha PillaiⒸ , Cayden Pocrass , Greg Kwok
Stanford TY	2nd	Opening Opposition	View Ballot	Daksha PillaiⒸ , Cayden Pocrass , Greg Kwok
McGill LT	1st	Closing Government	View Ballot	Daksha PillaiⒸ , Cayden Pocrass , Greg Kwok
SCREEE	3rd	Closing Opposition	View Ballot	Daksha PillaiⒸ , Cayden Pocrass , Greg Kwok
HWS C	1st	Opening Government	View Ballot	Jack MorgensteinⒸ , Jorge Alberto Galindo Jasso
Technocratic communism	3rd	Opening Opposition	View Ballot	Jack MorgensteinⒸ , Jorge Alberto Galindo Jasso
María y Brisa	2nd	Closing Government	View Ballot	Jack MorgensteinⒸ , Jorge Alberto Galindo Jasso
